utterance	outcome	spoken_ms	position_ms
9890	done	7413	10009
53900	done	5344	54087
63400	done	7952	63473
78400	done	7374	78555
93400	done	8224	93439
119400	done	6846	119659
138400	done	5795	138555
153400	done	8298	153612
168400	done	7571	168699
183400	done	5565	183536
217400	done	3494	217606
227400	done	2077	227584
263400	done	6405	263415
305400	done	8270	305621
328400	done	7598	328435
368900	done	1368	369066
397400	done	4077	397571
411400	done	4231	411703
423400	done	2539	423434
431760	done	8134	432034
446760	done	5844	446853
461760	done	8095	461928
476760	done	8816	477018
494400	done	4207	494558
508590	done	3646	508693
520740	done	8498	520857
539720	done	5912	539800
554720	done	2846	554778
567400	done	1914	567625
616360	done	6180	616557
631360	done	6413	631519
661360	done	5763	661701
691360	done	5826	691526
706360	done	5126	706509
721360	done	4670	721370
