utterance	outcome	spoken_ms	position_ms
9890	done	7583	10016
53900	done	5590	54302
63400	done	7987	63492
78400	done	7440	78552
93400	done	8346	93447
119400	done	8085	119422
138400	done	6093	138627
153400	done	9398	153432
168400	done	8910	168460
183400	done	8420	183570
217400	done	4489	217570
227400	done	2168	227650
263400	done	5853	263617
305400	done	8071	305559
328400	done	7855	328425
397400	done	3919	397476
411400	done	3866	411542
423400	done	2530	423410
431760	done	6747	431812
446760	done	4456	446806
461760	done	7272	463949
476760	done	6900	476831
494400	done	3548	494423
508590	done	3641	508616
520740	done	8474	520966
539720	done	5850	539758
554720	done	2816	554810
616360	done	6180	616466
631360	done	6353	631378
661360	done	5504	661690
691360	done	5791	691468
706360	done	5036	706395
721360	done	4921	721372
