utterance	outcome	spoken_ms	position_ms	ended_at_ms
9890	done	7752	9900	18183
53900	done	5745	54015	59469
63400	done	7215	63554	71176
78400	done	7526	78410	86446
93400	done	8291	93435	101076
119400	done	6505	119400	126541
138400	done	5588	138582	144444
153400	done	8250	153492	161554
168400	done	7549	168492	176145
183400	done	5638	183473	189239
217400	done	3529	217459	221223
227400	done	1759	227424	229270
263400	done	6059	263488	269825
305400	done	8149	305579	313647
328400	done	7925	328469	336243
350400	done	3125	350614	353620
397400	done	3311	397613	401222
411400	done	4335	411455	416139
423400	done	2584	423430	426063
431760	done	8223	432302	440575
446760	done	5842	446940	452779
461760	done	8255	461864	470142
476760	done	8763	476802	485613
494400	done	4416	494413	498502
508590	done	3639	508682	512470
520740	done	8521	520901	529783
539720	done	5650	539794	545686
554720	done	2393	554770	556964
567400	done	1071	567508	568630
616360	done	6218	616460	622559
631360	done	6519	631445	637870
661360	done	5802	661554	667551
691360	done	5828	691401	697142
706360	done	5118	706464	711692
721360	done	4811	721361	726175
